Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,106
design__inferred_latch__count,0
design__instance__count,134882
design__instance__area,1.50733E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,274
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.1084168404340744
power__switching__total,0.12362111359834671
power__leakage__total,0.00005946820238023065
power__total,0.23209743201732635
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.3484409803758083
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.33771883467879416
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.09802742228743919
timing__setup__ws__corner:nom_fast_1p32V_m40C,5.454060468742836
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.098027
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,5.454061
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,38
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,274
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.3735349635330584
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.3492324861480245
timing__hold__ws__corner:nom_slow_1p08V_125C,0.614947554728168
timing__setup__ws__corner:nom_slow_1p08V_125C,-0.6442180304887235
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-8.798651833938608
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-0.6442180304887235
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.614948
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,33
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-0.644218
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,33
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,274
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.35397910604617483
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.3377185293674537
timing__hold__ws__corner:nom_typ_1p20V_25C,0.29147463045948024
timing__setup__ws__corner:nom_typ_1p20V_25C,3.1685561737894323
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.291475
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,3.168556
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,38
design__max_fanout_violation__count,274
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.3484409803758083
clock__skew__worst_setup,0.3377185293674537
timing__hold__ws,0.09802742228743919
timing__setup__ws,-0.6442180304887235
timing__hold__tns,0.0
timing__setup__tns,-8.798651833938608
timing__hold__wns,0
timing__setup__wns,-0.6442180304887235
timing__hold_vio__count,0
timing__hold_r2r__ws,0.098027
timing__hold_r2r_vio__count,0
timing__setup_vio__count,33
timing__setup_r2r__ws,-0.644218
timing__setup_r2r_vio__count,33
design__die__bbox,0.0 0.0 1250.0 1250.0
design__core__bbox,5.76 15.12 1244.16 1232.28
design__io,648
design__die__area,1.5625E+6
design__core__area,1.50733E+6
design__instance__count__stdcell,44642
design__instance__area__stdcell,623517
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.413656
design__instance__utilization__stdcell,0.413656
design__rows,322
design__rows:CoreSite,322
design__sites,830760
design__sites:CoreSite,830760
design__instance__count__class:inverter,1298
design__instance__area__class:inverter,7065.27
design__instance__count__class:sequential_cell,3535
design__instance__area__class:sequential_cell,173175
design__instance__count__class:multi_input_combinational_cell,31324
design__instance__area__class:multi_input_combinational_cell,336500
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ORD-0032,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,3
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,29422.3
design__instance__displacement__mean,0.659
design__instance__displacement__max,21.9
route__wirelength__estimated,1.45869E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,7871
design__instance__area__class:timing_repair_buffer,95100
design__instance__count__class:clock_buffer,436
design__instance__area__class:clock_buffer,10284
design__instance__count__class:clock_inverter,142
design__instance__area__class:clock_inverter,1195.69
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,107
global_route__vias,32
global_route__wirelength,2241122
flow__warnings__count:GRT-0037,16
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,36
route__net,44770
route__net__special,2
route__drc_errors__iter:0,31
route__wirelength__iter:0,1578124
route__drc_errors__iter:1,3
route__wirelength__iter:1,1578136
route__drc_errors__iter:2,3
route__wirelength__iter:2,1578136
route__drc_errors__iter:3,0
route__wirelength__iter:3,1578118
route__drc_errors__iter:4,0
route__wirelength__iter:4,1578051
route__drc_errors,0
route__wirelength,1578118
route__vias,290326
route__vias__singlecut,290326
route__vias__multicut,0
design__instance__count__class:antenna_cell,36
design__instance__area__class:antenna_cell,195.955
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1873.9
design__instance__count__class:fill_cell,90240
design__instance__area__class:fill_cell,883814
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,226
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,226
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
